Area,City,Restaurant Price,Avg Rating,Total Rating,Food Item,Food Type,Delivery Time,Review
3,3,100,4.7,9475,20,3,0,3
6,7,100,4.5,9386,23,1,0,6
3,6,900,4.7,4837,20,1,2,3
6,5,900,5.0,592,29,5,2,14
0,0,700,5.0,2497,15,4,1,9
6,5,600,4.0,7750,10,0,2,25
0,0,300,3.0,4750,37,2,3,12
2,7,500,3.0,1513,14,3,3,2
3,6,200,4.5,6062,15,2,0,21
0,5,600,5.0,7656,48,1,3,21
5,3,100,3.0,6693,20,2,0,5
4,3,100,4.0,1992,14,2,0,21
2,1,700,4.2,941,42,2,1,19
0,6,700,4.2,672,30,1,3,5
2,2,800,4.7,7525,37,0,1,6
6,7,700,3.0,3831,43,1,3,18
4,0,500,3.5,3691,7,3,2,4
2,2,500,3.0,7562,47,2,0,6
5,0,900,3.0,3486,44,2,2,18
4,1,500,4.2,722,37,1,3,26
1,5,100,4.2,6358,13,2,0,16
5,5,700,3.0,3029,44,4,1,13
0,3,200,4.0,1604,35,1,0,18
1,0,100,4.5,1383,18,4,3,22
0,5,400,4.5,1032,13,3,3,18
1,6,100,3.0,6313,13,3,0,15
4,3,700,3.0,7213,35,3,1,4
3,1,400,4.5,1588,46,4,1,13
2,3,700,5.0,7869,24,4,1,20
0,3,700,4.2,8960,24,5,0,6
0,5,700,3.0,2382,19,2,3,5
1,6,300,4.5,142,6,3,1,18
4,4,300,3.0,5044,43,4,1,0
2,7,600,5.0,5590,43,3,1,8
6,6,800,3.5,8879,22,4,3,23
5,3,700,4.7,9054,41,0,1,21
2,0,300,5.0,5697,47,4,0,8
0,0,700,4.5,3425,19,4,2,18
6,5,700,5.0,6202,42,1,0,13
3,2,200,4.2,2609,26,0,3,1
4,6,1000,4.5,8967,16,5,2,8
0,7,200,4.5,3078,34,3,2,24
3,3,200,3.0,4713,0,0,2,24
2,5,600,4.2,4671,21,2,3,25
1,1,400,3.5,721,35,0,2,0
1,6,900,3.5,8610,13,0,3,9
3,1,400,4.7,1629,17,4,3,13
3,5,900,3.0,3285,23,4,2,10
0,2,100,3.0,1243,24,3,3,26
4,4,300,4.0,730,26,4,0,17
5,1,700,3.0,295,30,0,2,18
5,4,800,5.0,2014,46,4,3,2
5,3,500,5.0,6155,40,0,0,19
0,7,1000,4.7,9556,20,4,2,25
0,7,100,3.5,9831,21,3,2,6
1,2,900,4.5,7991,6,4,0,23
0,6,700,5.0,7178,0,4,2,13
6,2,100,4.7,4432,16,1,1,11
1,4,400,3.5,5545,30,2,1,17
3,1,900,4.7,1169,16,0,3,15
2,2,600,4.2,523,42,3,3,14
3,1,800,5.0,1284,24,5,0,1
4,5,300,4.2,3272,26,4,1,5
1,1,500,4.5,7535,21,0,3,6
6,6,500,3.5,4912,23,0,1,9
2,4,500,3.0,1330,46,1,3,1
5,5,800,4.0,1555,43,5,2,1
3,7,700,4.7,3561,7,3,3,21
0,7,800,5.0,6857,43,1,2,16
1,5,900,3.0,8390,42,1,0,23
5,4,300,4.2,6134,46,3,3,17
6,0,200,4.5,4858,1,2,0,13
0,5,1000,4.5,9986,35,1,0,3
0,2,400,4.7,1744,33,5,3,9
5,0,500,4.0,3349,12,4,0,1
5,3,200,3.0,7253,29,4,2,9
0,1,200,3.0,6874,43,0,1,20
0,0,200,3.5,9516,47,1,2,9
5,6,700,3.0,5348,4,4,2,20
3,1,300,4.5,8866,17,2,0,24
6,0,300,4.2,8214,16,3,1,3
1,1,200,3.5,9491,1,4,3,3
4,2,1000,3.0,3460,21,4,3,26
5,2,300,4.2,795,19,5,2,21
2,0,300,4.5,3580,3,2,2,13
0,0,100,5.0,6403,16,3,0,6
3,3,200,5.0,2032,48,3,1,7
5,7,500,3.5,8858,16,0,3,21
5,5,800,4.2,4678,47,0,3,19
6,5,100,4.7,5203,10,0,1,24
3,1,200,4.7,9680,45,0,1,7
6,5,200,3.5,4347,23,3,1,17
4,0,800,3.0,4807,3,5,0,20
1,2,1000,3.0,7989,5,4,1,0
4,1,700,3.0,1491,49,3,0,14
0,1,500,5.0,6720,4,1,1,13
4,1,1000,3.5,2200,36,5,0,16
4,0,800,4.2,8379,19,5,3,26
4,3,100,4.2,8573,3,5,1,1
0,5,100,4.0,2013,33,3,2,1
5,1,600,3.0,7082,47,0,0,8
0,6,800,4.0,798,16,3,0,15
6,3,200,3.5,9087,23,1,3,13
0,6,300,4.0,6842,27,5,2,3
5,1,300,5.0,9304,44,1,1,21
3,7,300,4.2,3795,49,3,2,1
5,7,1000,5.0,9580,17,4,1,23
1,2,700,4.7,9898,15,2,1,16
6,6,400,3.0,4984,18,5,1,1
6,0,600,4.2,8709,36,3,0,3
0,0,1000,4.7,1485,31,5,1,8
1,0,500,4.2,3290,44,3,0,0
5,6,700,4.5,278,12,0,2,18
5,7,700,3.0,429,5,2,3,2
1,1,300,5.0,4714,32,0,0,10
0,0,600,4.0,6181,26,2,1,18
5,0,700,4.0,3729,45,0,1,9
4,1,100,5.0,1887,43,2,1,5
6,0,1000,4.0,2284,24,3,3,15
0,6,300,3.0,8600,41,3,0,4
0,0,100,3.0,6099,17,4,1,17
1,3,1000,3.5,7966,12,1,2,2
1,0,200,5.0,2766,16,2,1,9
3,1,800,4.0,6744,20,0,2,10
5,4,400,4.2,8381,19,4,2,4
4,3,600,4.2,3817,41,4,1,19
3,2,600,4.2,5367,26,4,1,1
5,5,200,4.7,3787,3,3,3,7
4,2,400,4.5,3052,24,0,1,25
5,3,600,4.0,4334,20,3,1,8
2,7,800,4.5,4308,19,2,1,18
5,2,400,3.5,4556,48,1,0,13
2,3,200,3.5,717,13,1,0,23
0,7,600,4.0,8025,28,1,2,21
2,7,300,4.5,2302,18,4,3,4
5,5,300,4.5,3251,42,4,1,9
6,4,900,5.0,917,49,0,3,10
2,6,900,4.0,7698,20,4,2,13
5,4,900,4.7,788,8,0,1,17
1,1,500,4.5,9173,25,1,0,14
4,1,800,4.5,8068,22,3,0,4
1,4,900,3.0,1506,23,0,3,16
4,7,900,4.5,8314,19,3,3,19
3,4,700,5.0,8902,2,3,2,1
6,0,400,4.0,5474,18,1,0,9
6,1,800,4.7,5718,3,4,3,0
1,0,900,4.7,6320,42,2,2,3
0,7,900,3.5,2198,38,3,0,8
5,4,600,4.7,344,4,0,2,9
2,6,700,3.0,8895,44,1,1,0
4,1,300,3.5,3572,33,2,3,8
5,3,800,4.5,7666,23,2,1,21
2,2,900,3.5,6448,9,2,2,22
6,6,400,3.5,8895,24,0,0,6
2,1,600,4.7,5143,28,4,0,9
3,7,300,4.0,8065,48,1,1,8
4,1,200,4.0,9058,29,0,0,13
5,0,200,4.0,6490,40,5,3,19
2,1,600,3.5,7390,13,3,3,7
4,6,500,4.2,7610,29,3,1,23
4,4,1000,3.5,458,29,4,3,20
2,4,500,4.0,5615,45,1,1,5
1,6,200,3.5,7873,45,0,0,0
4,3,200,4.2,5279,11,2,3,7
2,3,500,5.0,8181,49,1,2,23
3,0,1000,3.0,8115,35,4,1,2
1,7,100,4.7,5704,42,5,0,7
2,1,1000,5.0,4422,5,4,1,1
0,0,300,3.0,9420,25,3,0,9
3,6,900,4.2,7773,43,4,3,12
6,2,700,4.7,8894,18,3,2,6
2,0,400,5.0,9384,48,3,2,1
5,4,300,3.0,500,13,1,2,8
2,2,300,4.7,6523,0,1,0,20
6,5,600,4.5,8300,13,5,0,14
6,0,400,4.0,4640,20,4,2,23
6,1,200,4.7,4624,37,1,3,22
3,5,500,4.0,2416,42,4,2,20
3,6,1000,4.5,4338,16,0,0,13
1,1,400,4.0,3245,3,3,0,2
0,7,1000,3.0,6480,44,3,2,2
2,1,100,3.0,6800,35,4,3,21
2,5,300,4.7,8645,9,3,0,25
5,6,500,4.2,6987,26,1,2,1
0,3,300,3.5,2902,12,0,1,26
6,4,600,5.0,9489,48,2,1,9
2,7,200,4.2,2577,0,2,1,21
2,2,300,5.0,5044,37,0,1,23
4,2,800,3.5,8445,26,3,2,11
4,3,800,3.5,8776,18,3,2,20
3,6,500,3.5,5116,0,5,1,1
4,0,600,3.0,8567,39,4,2,4
0,6,300,4.5,2566,43,4,1,13
4,3,800,4.0,9724,42,3,0,19
1,7,900,3.0,7581,30,4,2,6
4,1,800,4.5,7639,4,2,2,23
2,4,600,5.0,9391,28,5,3,13
2,3,100,4.7,460,28,5,0,8
5,7,500,5.0,4521,27,2,1,20
0,2,200,4.7,5805,38,0,1,5
2,7,1000,4.7,2211,26,5,1,1
1,5,800,3.0,5784,24,0,3,2
6,1,400,4.5,8739,10,2,1,21
6,6,800,4.2,1706,43,2,0,20
1,0,100,4.7,8994,20,4,3,17
1,1,200,3.5,8751,32,0,1,3
4,7,100,4.7,6978,10,2,2,0
6,4,200,3.5,9264,23,4,3,13
5,0,200,3.5,1492,3,5,0,4
2,5,400,5.0,182,28,5,3,24
1,5,900,5.0,3783,19,1,0,16
6,7,1000,5.0,1852,47,1,2,16
0,4,100,4.7,3158,10,3,3,2
2,5,900,4.2,1799,27,2,0,26
0,0,1000,5.0,4693,10,0,2,8
0,0,400,3.5,9123,25,1,2,3
6,0,400,4.7,4145,19,2,3,15
3,2,200,3.5,9801,38,2,3,20
1,7,700,4.2,7595,0,1,3,5
3,0,300,4.5,1362,47,5,1,10
2,6,800,4.7,3010,24,4,3,19
1,5,800,3.5,8895,21,4,2,9
0,4,900,4.2,2500,7,0,0,2
2,6,700,4.2,4050,43,2,3,11
3,0,800,4.5,8639,4,3,1,21
4,0,100,4.5,2488,11,1,1,1
0,4,600,4.7,5785,3,0,3,8
2,5,500,5.0,5494,4,4,3,18
4,1,400,4.5,5748,13,4,1,4
2,1,600,4.0,8459,18,5,1,3
2,6,300,3.0,9285,0,0,2,21
5,4,400,4.2,4643,8,0,1,19
1,3,200,4.5,8886,1,5,3,4
0,2,900,3.0,3841,32,4,1,8
1,5,1000,4.0,2126,19,1,3,18
2,7,700,3.0,6818,35,3,2,13
1,0,400,3.5,5011,42,5,3,11
6,1,300,3.0,3854,38,2,2,0
6,0,500,4.7,3446,42,0,1,8
0,0,1000,4.5,5433,28,0,1,20
1,1,100,4.2,7366,36,3,2,21
2,1,200,4.0,1104,43,2,1,13
5,2,400,3.0,7332,17,2,2,12
4,5,900,3.5,6212,36,5,1,5
2,6,800,5.0,3275,11,2,2,16
6,5,100,3.5,6602,23,3,1,7
4,1,300,4.7,6104,26,5,3,9
2,0,200,4.5,1028,22,1,0,19
2,7,800,3.0,5602,23,2,0,18
6,5,200,4.7,3449,17,1,3,7
0,5,700,4.0,9500,4,1,1,21
3,0,400,3.0,143,6,4,1,20
5,7,100,3.0,6891,33,3,0,21
0,5,500,4.7,4715,34,0,0,18
4,5,700,4.0,8490,27,3,2,12
1,1,900,3.5,716,31,4,2,23
1,4,100,4.7,8428,47,0,0,2
6,4,900,4.5,722,45,5,3,10
1,6,800,4.5,9700,47,5,1,24
3,3,800,5.0,4581,29,4,2,10
3,1,800,4.0,6937,37,0,1,17
1,4,1000,4.5,6110,9,4,3,9
1,2,600,4.5,4274,40,5,3,21
6,4,800,4.0,3130,33,4,3,14
0,4,900,3.5,768,29,5,0,9
1,4,900,3.0,253,30,0,3,11
6,3,800,4.5,1261,40,1,1,5
3,1,800,3.5,4831,42,1,0,12
0,6,900,4.2,290,26,2,2,13
3,2,200,4.0,413,49,4,2,0
1,2,600,3.0,7696,11,4,2,20
1,5,1000,4.7,7137,12,4,3,4
4,6,300,5.0,1533,34,2,3,14
0,2,700,3.5,3515,0,0,2,19
0,7,800,4.5,4337,35,3,3,5
2,1,200,4.2,3573,2,0,2,5
6,2,600,5.0,2553,47,4,1,4
0,3,900,3.5,3054,5,5,1,17
5,3,900,4.0,2905,19,1,0,2
6,4,200,4.0,1226,28,2,2,17
5,5,500,4.2,1298,25,4,3,12
0,5,400,3.0,5698,31,2,2,1
3,1,1000,5.0,5589,18,0,1,0
6,7,100,4.0,5990,21,2,0,6
3,6,800,4.2,5051,19,3,3,26
1,7,400,3.0,3758,43,4,2,14
6,7,900,4.2,5429,15,4,1,19
5,3,300,4.2,7897,31,3,1,20
0,6,100,4.2,3431,26,5,0,19
0,0,400,4.2,3975,48,5,1,10
0,5,200,3.0,6976,12,5,0,12
3,2,400,4.2,1452,35,3,3,14
5,4,200,4.2,7659,46,5,3,9
2,4,600,5.0,4145,41,5,2,21
1,2,300,4.2,3706,20,1,2,6
5,2,100,4.7,227,37,2,0,12
2,3,500,4.0,9489,3,4,2,22
5,4,900,3.5,2991,44,5,2,6
2,3,100,5.0,372,34,2,1,6
6,5,500,3.0,2329,26,3,1,1
1,6,300,4.2,4262,27,4,1,2
3,2,600,4.7,6646,24,4,3,1
1,3,300,3.5,597,21,2,0,4
1,5,400,5.0,2427,28,0,3,15
4,2,700,4.2,7337,10,0,0,13
5,3,600,4.2,6832,45,3,0,11
2,3,1000,4.2,9427,41,4,0,11
0,5,200,3.0,1938,0,2,0,18
6,7,100,4.0,5196,21,2,0,0
5,1,700,3.0,9989,0,5,1,21
3,2,700,5.0,6099,36,4,1,3
1,0,1000,4.5,2720,17,0,3,26
2,1,100,5.0,7139,33,2,0,15
5,3,100,5.0,1576,8,2,2,1
4,1,700,3.5,1002,6,5,0,5
4,7,200,3.0,6813,33,5,1,1
1,3,900,4.7,6171,6,5,3,16
4,2,700,4.2,3009,32,3,0,26
3,5,700,4.0,9885,3,0,1,3
2,4,100,3.0,549,26,1,1,3
3,5,200,4.2,8906,10,0,2,9
2,1,1000,4.5,6210,37,5,0,6
6,0,200,4.7,6247,38,2,0,1
1,2,500,4.2,1644,29,1,3,4
0,0,800,3.0,4410,5,0,3,9
0,5,600,3.5,569,25,1,2,7
3,6,100,4.5,5902,46,2,0,14
4,4,1000,4.2,3134,4,0,0,1
2,2,200,4.2,297,15,4,1,17
5,2,800,5.0,6281,28,4,3,18
0,0,600,3.5,6564,46,5,3,2
3,1,1000,4.5,9373,4,3,1,13
6,2,100,4.5,8697,41,1,1,20
6,4,600,4.2,9050,43,1,2,19
3,7,200,3.0,8011,36,5,3,15
1,6,800,4.7,5137,18,4,1,18
4,0,700,4.2,3247,12,3,2,20
1,7,900,4.0,161,42,4,3,23
3,7,700,4.0,7282,18,1,0,8
1,2,100,3.5,6038,17,0,3,7
6,1,200,4.7,3950,11,1,3,19
6,5,700,4.2,9987,42,1,2,4
2,5,100,4.0,277,28,3,1,9
2,4,200,3.0,7152,46,1,2,9
6,7,200,4.7,6876,23,4,1,18
4,4,200,3.0,6167,7,2,2,23
4,0,500,4.0,4698,27,5,0,13
5,4,700,4.7,8161,7,3,0,6
1,1,900,5.0,3169,34,4,1,14
3,7,100,4.0,3195,9,2,0,6
4,7,700,3.0,6240,38,5,1,4
4,0,700,4.7,8253,45,3,0,22
3,6,100,4.0,6179,5,0,3,9
6,3,1000,5.0,951,26,3,2,1
5,4,500,5.0,1764,6,3,0,15
1,5,200,4.0,870,25,0,2,21
1,3,200,3.5,3424,25,3,3,19
1,5,900,5.0,4513,11,3,0,25
6,7,300,3.0,621,0,4,3,23
2,3,400,4.5,6138,7,5,0,5
4,1,700,4.2,1577,22,2,3,18
4,6,600,4.0,2529,23,3,3,4
3,2,200,4.5,9402,13,1,3,15
4,5,200,4.5,9499,35,5,3,18
5,0,100,4.2,5424,2,0,2,24
6,0,100,4.5,9581,14,1,2,6
0,4,800,3.5,7593,9,2,0,11
0,6,1000,4.7,164,24,5,0,13
0,4,300,4.7,3774,15,5,0,25
2,4,200,4.5,4252,15,4,2,6
5,4,100,3.5,467,36,0,2,4
0,5,700,4.5,8883,7,4,2,12
6,1,600,5.0,5274,11,2,2,25
5,0,900,4.2,5848,14,0,2,6
5,7,500,4.2,1252,20,1,1,7
1,5,300,4.2,7747,42,4,2,18
3,1,200,3.5,7118,17,5,2,0
4,0,700,4.5,7075,21,3,0,1
1,1,700,5.0,819,26,5,0,6
5,6,400,3.0,5074,1,4,0,1
0,0,600,4.5,9653,17,0,1,20
0,1,800,3.5,2791,15,4,2,13
4,3,400,4.0,3023,46,3,2,22
3,0,100,5.0,9411,0,5,1,23
3,0,900,4.5,2768,15,1,1,1
2,4,200,4.2,1718,41,4,2,6
4,6,400,4.7,851,14,3,0,10
6,4,900,4.5,3472,4,4,2,21
6,3,1000,5.0,7672,36,5,1,1
6,4,200,4.2,2688,6,0,2,6
1,5,500,4.0,8458,17,3,0,13
4,5,800,3.0,1506,32,0,3,8
5,7,700,3.5,3631,31,5,2,26
0,1,1000,4.2,1108,31,4,2,20
0,7,800,3.0,5927,18,3,2,1
1,6,1000,3.0,8992,27,4,3,10
3,5,500,4.0,8675,37,0,1,16
2,5,700,4.7,8804,49,0,2,4
2,0,1000,3.5,5243,7,4,0,8
6,3,200,4.0,817,12,3,1,21
2,6,500,4.0,7559,3,5,2,18
6,0,800,4.0,3477,45,1,0,1
2,0,200,4.2,5114,47,4,0,26
6,2,100,4.0,6402,43,0,0,8
2,5,800,4.0,3846,36,2,2,1
3,1,200,4.0,5331,27,2,0,7
4,0,500,4.7,4374,4,5,1,12
5,3,500,3.0,3157,3,1,3,6
6,1,300,4.5,3027,49,3,2,8
0,5,200,4.7,1741,36,0,3,2
1,0,1000,3.5,724,43,3,2,7
6,6,100,3.5,3066,44,3,3,18
0,6,200,5.0,1460,1,2,0,2
5,3,600,5.0,9576,4,3,1,3
3,0,600,4.7,7472,32,2,2,26
3,3,300,5.0,4140,38,1,2,11
0,4,700,3.5,4399,46,2,2,23
0,5,400,4.2,2423,42,1,1,13
6,7,700,4.2,3798,20,0,2,2
3,7,300,4.2,8480,45,0,1,8
4,5,1000,4.0,9614,31,4,1,10
4,5,400,5.0,2077,15,2,0,15
0,1,100,4.5,6167,27,5,0,1
2,7,300,3.5,5287,41,2,0,26
1,5,600,4.5,2865,2,3,0,12
5,7,800,3.0,4470,8,2,0,2
5,6,300,5.0,8716,25,3,1,18
5,0,700,4.5,6743,26,0,1,2
5,1,100,3.5,371,24,0,0,23
2,5,400,4.5,7763,33,5,3,5
4,2,100,4.2,4686,35,2,0,24
1,2,500,4.7,3495,46,0,2,19
6,3,600,4.5,1104,17,5,2,23
0,0,200,3.5,6783,28,2,1,20
4,2,900,4.0,4608,36,1,0,15
2,7,500,4.5,6296,5,2,1,20
0,0,500,4.0,5834,41,4,2,8
3,0,800,4.7,5121,36,4,2,15
4,1,1000,3.0,4563,43,5,1,20
0,6,500,5.0,1473,13,1,1,9
1,2,100,5.0,5788,47,3,0,8
3,1,400,4.7,5800,30,2,2,7
1,4,400,4.5,7783,43,4,1,13
0,2,500,4.7,9724,14,1,3,4
2,0,1000,5.0,171,16,1,1,11
5,2,300,4.5,9730,38,2,2,6
6,5,600,3.5,167,39,0,3,13
1,2,600,3.0,4747,31,0,0,0
0,3,100,3.0,554,9,1,2,13
6,0,500,4.7,2907,0,3,1,5
2,6,600,3.5,2450,38,5,2,2
5,6,800,5.0,9902,17,2,3,21
3,4,300,4.2,2658,48,1,2,1
6,0,700,4.2,4742,19,4,1,5
4,3,400,4.5,146,18,5,0,1
1,7,800,4.5,7667,28,4,2,21
1,1,500,3.5,8097,9,2,0,7
1,3,900,3.0,7688,17,5,1,26
6,6,800,4.7,3316,27,4,0,21
2,6,800,4.0,8301,19,4,2,22
1,7,900,3.5,8183,9,3,0,8
6,6,400,4.2,4611,46,5,1,1
3,4,700,4.7,2299,12,2,2,9
0,1,1000,4.7,2189,10,2,0,19
0,6,1000,4.0,2218,19,0,0,13
4,2,600,3.5,6137,40,3,2,13
4,2,400,4.0,4046,13,5,2,15
5,7,100,4.0,2659,8,5,3,16
0,4,100,4.0,6901,40,5,0,17
1,7,400,3.5,8682,20,2,3,26
6,2,400,4.2,7599,45,5,2,8
6,6,100,4.5,9977,3,4,1,11
2,3,300,5.0,8573,11,4,3,23
1,7,800,5.0,3508,15,1,2,18
4,4,800,4.2,7585,30,4,2,21
3,5,800,3.0,7471,7,4,1,20
2,0,100,4.5,9845,12,2,1,18
2,2,900,4.0,391,14,5,2,12
0,2,500,3.5,2233,19,1,3,24
0,4,500,4.7,2893,29,3,0,24
3,0,800,5.0,1937,38,0,2,2
4,3,800,4.7,7735,2,3,2,25
3,6,600,3.0,5596,29,1,2,20
6,5,200,5.0,7379,5,5,3,11
6,5,1000,5.0,2378,10,1,0,23
4,0,600,4.7,4381,29,3,0,12
3,3,800,3.5,66,9,3,1,25
0,5,100,4.0,8344,24,2,3,20
3,2,600,3.5,9560,47,0,2,1
5,0,1000,4.2,9361,13,0,3,9
1,1,800,4.7,8446,20,1,1,21
3,6,200,4.0,7371,21,0,0,5
4,7,300,4.2,6313,34,1,2,21
0,7,700,3.5,7058,41,1,3,10
4,2,600,4.7,6191,22,1,1,17
4,7,800,4.0,9173,24,2,3,9
6,4,700,4.2,6384,48,2,1,21
0,0,900,4.0,3865,27,5,2,2
4,6,200,3.0,8950,37,4,0,25
1,3,900,4.7,4302,34,1,2,9
6,1,700,4.0,9362,43,3,2,25
2,6,100,4.0,8641,2,1,1,4
0,6,200,5.0,909,40,2,0,10
6,6,500,3.0,9290,48,1,0,20
0,7,500,4.7,4461,41,3,2,12
4,0,600,4.7,1503,33,4,0,20
3,0,400,4.5,2053,0,4,1,23
2,5,900,4.2,8638,2,3,2,16
0,5,400,3.5,8829,39,0,3,14
5,0,600,4.7,5208,4,0,2,4
2,1,700,4.2,7556,23,5,1,8
5,5,100,3.5,5153,1,2,0,9
2,1,300,3.5,3990,49,5,3,13
3,2,100,4.0,2752,48,4,1,21
6,4,300,4.5,8521,34,1,1,15
5,0,800,4.0,3266,25,3,0,9
4,0,300,4.2,6589,8,5,2,21
6,2,400,3.0,2547,8,1,1,9
6,0,800,4.2,9710,47,0,1,14
4,6,400,4.5,871,49,3,0,20
0,1,600,3.5,5321,31,5,2,6
6,0,100,3.0,7636,17,4,1,16
1,5,1000,4.0,9708,6,3,0,6
5,2,800,4.2,6355,32,0,1,21
3,5,700,3.0,5399,4,4,1,9
0,1,500,4.7,5772,29,4,1,6
2,1,300,3.5,8698,33,4,0,1
0,3,700,3.5,8773,38,2,3,21
3,4,600,4.5,5740,40,4,2,20
6,7,900,3.0,7170,34,3,3,11
6,5,100,4.2,6812,24,2,3,2
6,6,800,3.5,9167,3,1,1,18
1,1,800,4.5,7108,37,3,3,10
6,1,100,4.5,8413,47,2,2,19
0,3,200,3.5,5548,26,4,3,20
1,4,700,5.0,309,31,2,2,2
4,1,900,3.5,7910,7,4,3,22
5,1,900,3.5,8607,3,3,2,5
6,7,400,5.0,4683,27,2,2,14
1,0,400,3.5,1204,17,4,1,13
2,1,900,4.0,3826,5,5,1,18
2,0,800,3.0,976,33,1,1,9
1,2,700,3.0,8851,15,2,2,25
5,1,100,4.0,6790,24,0,2,16
3,7,1000,4.5,9178,36,4,0,0
3,1,200,4.2,7459,32,0,1,10
1,6,800,5.0,6369,43,4,1,17
2,6,300,4.2,1857,19,4,0,24
5,6,600,4.2,919,17,0,0,14
0,5,800,4.7,9604,18,0,3,4
6,5,300,4.2,7001,27,5,3,4
3,4,1000,4.7,4442,47,1,0,2
2,3,600,3.0,9633,22,1,3,18
1,6,400,5.0,4119,4,3,1,17
5,5,700,5.0,8415,39,4,0,1
1,4,100,5.0,9144,19,5,0,13
3,3,700,4.0,1430,36,3,2,9
0,3,300,4.5,5218,21,5,3,14
6,2,1000,4.2,9946,20,3,0,17
6,4,400,3.5,2315,40,5,3,20
0,7,200,4.5,1809,31,4,3,9
4,0,800,3.0,164,32,5,2,11
5,3,300,4.0,5292,30,3,3,9
5,0,700,4.7,4255,40,5,1,14
6,1,500,4.2,4226,45,0,3,19
5,1,900,3.5,3119,39,3,1,2
5,2,400,4.0,9708,35,3,0,25
1,6,400,3.5,630,43,0,2,12
